Ilce,M2,Banyo,Bina_Yasi,Balkon,Asansor,Garaj,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat,Isinma,yapi_durumu,Kullanim_Boş,Kullanim_Kiracılı,Kullanim_Mülk Sahibi,tapu_durumu
Akhisar,105,1,0,0,1,1,0,0,3650000.0,2,1,3.0,3,2,1,0,0,1
Yunusemre,200,1,3,0,1,0,1,1,5850000.0,3,1,5.0,3,0,1,0,0,2
Yunusemre,174,2,11,1,1,1,1,0,11750000.0,4,1,3.0,3,0,1,0,0,1
Yunusemre,50,1,6,0,0,0,0,0,2350000.0,1,1,2.0,3,0,1,0,0,1
Turgutlu,155,2,0,1,1,1,0,0,6750000.0,3,1,1.0,3,0,1,0,0,2
Salihli,85,1,0,1,1,1,1,0,2800000.0,2,1,1.0,3,1,1,0,0,1
Salihli,145,1,20,1,1,1,0,0,4100000.0,3,1,4.0,3,0,1,0,0,2
Akhisar,90,2,0,1,1,1,0,0,3600000.0,2,1,1.0,3,2,1,0,0,1
Yunusemre,240,2,20,1,1,0,1,0,4200000.0,4,1,5.0,3,0,0,0,1,2
Yunusemre,257,3,26,0,0,0,1,0,16500000.0,4,1,0.0,3,0,0,0,1,1
Salihli,165,1,20,0,0,0,0,0,3250000.0,3,1,3.0,1,0,0,0,1,2
Turgutlu,110,1,21,0,0,0,1,0,2600000.0,2,1,4.0,3,0,0,1,0,2
Salihli,200,1,12,0,0,0,1,0,12000000.0,3,1,3.0,1,0,0,0,1,0
Yunusemre,83,1,12,0,0,0,0,0,3970000.0,2,1,3.0,3,0,1,0,0,2
Yunusemre,115,1,11,0,0,1,0,0,6750000.0,3,1,9.0,3,0,0,0,1,1
Turgutlu,115,1,6,0,0,0,0,0,3250000.0,2,1,0.5,3,0,0,0,1,2
Sehzadeler,140,1,26,0,0,0,0,0,3700000.0,3,1,4.0,3,0,1,0,0,2
Turgutlu,160,2,5,0,0,0,0,0,9900000.0,1,0,0.0,3,0,1,0,0,0
Turgutlu,135,1,20,1,1,1,1,0,3300000.0,4,1,3.0,3,0,0,0,1,2
Yunusemre,50,1,0,0,1,1,0,0,2575000.0,1,1,0.5,3,2,1,0,0,1
Salihli,300,3,1,1,0,1,1,0,35000000.0,7,1,3.0,2,0,1,0,0,2
Yunusemre,75,1,0,0,0,0,1,0,2990000.0,2,1,0.5,3,2,1,0,0,1
Yunusemre,75,1,4,0,1,0,0,0,2950000.0,2,1,2.0,3,0,1,0,0,1
Turgutlu,85,1,0,1,1,1,1,0,2300000.0,2,1,3.0,3,0,1,0,0,1
Yunusemre,250,2,1,0,1,0,0,0,7900000.0,5,1,4.0,3,2,1,0,0,2
Sehzadeler,145,1,30,1,1,0,0,0,4100000.0,4,1,0.5,3,0,1,0,0,2
Turgutlu,130,2,2,0,1,1,0,0,5400000.0,3,1,3.0,2,0,1,0,0,1
Yunusemre,275,2,14,1,1,0,0,0,8980000.0,6,2,0.5,3,0,0,0,1,2
Turgutlu,120,1,6,1,1,0,1,0,3750000.0,2,1,4.0,3,0,0,0,1,2
Sehzadeler,75,1,23,1,1,1,0,0,3400000.0,2,1,3.0,3,0,0,0,1,1
Yunusemre,120,1,16,1,1,0,0,0,3475000.0,3,1,0.0,3,0,0,0,1,1
Turgutlu,159,1,25,0,0,0,1,0,2100000.0,2,1,0.0,3,0,0,0,1,2
Salihli,157,1,10,1,1,1,0,0,4800000.0,3,1,0.0,1,0,0,0,1,2
Yunusemre,160,2,12,1,1,1,0,1,4490000.0,4,1,5.0,3,0,0,1,0,2
Turgutlu,105,1,8,0,0,0,0,0,2350000.0,3,1,3.0,3,0,0,1,0,2
Akhisar,125,1,0,1,1,0,1,0,4150000.0,3,1,2.0,3,2,1,0,0,1
Yunusemre,145,1,6,1,0,0,0,0,4600000.0,3,1,2.0,3,0,0,1,0,1
Yunusemre,115,1,4,1,1,0,1,0,3950000.0,3,1,4.0,3,0,1,0,0,1
Yunusemre,100,1,11,1,1,1,0,0,4650000.0,2,1,3.0,3,0,1,0,0,1
Salihli,145,1,15,1,1,1,0,0,4650000.0,3,1,3.0,3,0,1,0,0,1
Yunusemre,125,1,6,0,1,0,1,0,4550000.0,3,1,1.0,3,0,1,0,0,2
Turgutlu,280,3,0,1,1,0,0,0,8500000.0,5,1,5.0,3,0,1,0,0,2
Alasehir,155,2,6,1,0,1,0,0,4750000.0,3,1,8.0,3,0,1,0,0,2
Salihli,125,1,0,1,1,1,1,0,3650000.0,3,1,3.0,3,0,1,0,0,1
Sehzadeler,145,2,6,1,1,0,0,0,7700000.0,3,1,5.0,3,0,0,0,1,1
Koprubasi,110,1,4,0,1,0,1,0,3150000.0,2,1,3.0,2,0,1,0,0,2
Yunusemre,145,1,13,1,1,1,0,0,6800000.0,3,1,5.0,3,0,0,1,0,1
Turgutlu,90,2,7,0,0,0,1,0,2800000.0,2,1,5.0,2,0,0,0,1,1
Sehzadeler,120,1,20,0,0,1,0,0,4200000.0,3,1,3.0,3,0,0,0,1,1
Yunusemre,120,2,4,1,1,1,1,0,5700000.0,3,1,2.0,3,0,1,0,0,1
Salihli,85,1,4,0,0,0,1,0,2450000.0,2,1,0.0,3,0,0,1,0,2
Yunusemre,140,1,6,0,1,0,1,0,4200000.0,3,1,4.0,3,0,0,0,1,2
Sehzadeler,86,1,2,0,0,1,1,0,1550000.0,2,1,1.0,2,0,1,0,0,0
Turgutlu,145,1,2,1,1,1,1,0,3250000.0,3,1,3.0,3,0,1,0,0,1
Akhisar,103,2,0,0,0,1,0,0,3500000.0,2,1,2.0,3,2,1,0,0,1
Ahmetli,45,1,6,1,0,0,0,1,1800000.0,1,1,0.5,1,0,1,0,0,1
Yunusemre,80,1,8,0,1,1,1,0,3150000.0,2,1,2.0,3,0,0,1,0,1
Yunusemre,90,1,2,0,1,1,0,0,3550000.0,2,1,3.0,3,0,0,1,0,2
Salihli,135,1,3,0,1,1,0,0,6100000.0,3,1,3.0,3,0,1,0,0,1
Sehzadeler,145,1,27,1,1,1,0,0,3425000.0,3,1,5.0,3,0,0,0,1,2
Salihli,95,1,5,1,1,1,1,0,3600000.0,2,1,3.0,3,0,0,0,1,1
Sehzadeler,90,1,34,0,0,0,0,1,2340000.0,2,1,5.0,1,0,0,1,0,1
Salihli,204,2,5,0,1,1,1,0,5400000.0,4,1,4.0,3,0,1,0,0,2
Akhisar,202,2,0,0,1,1,1,0,5250000.0,4,1,3.0,3,0,1,0,0,1
Alasehir,170,2,0,0,1,0,1,0,5250000.0,3,1,6.0,3,0,1,0,0,1
Akhisar,100,1,31,1,0,0,0,0,1705000.0,2,1,0.0,1,0,0,1,0,1
Salihli,110,1,16,0,0,1,1,1,2650000.0,3,1,-3.0,0,0,0,1,0,2
Akhisar,130,1,1,0,0,1,0,0,2890000.0,3,1,0.0,2,2,1,0,0,1
Turgutlu,90,2,0,1,1,0,0,0,3800000.0,2,1,1.0,3,0,1,0,0,1
Yunusemre,140,1,8,0,0,0,0,0,5500000.0,3,1,5.0,3,0,0,0,1,2
Turgutlu,160,2,1,1,0,1,0,0,5900000.0,3,1,1.0,3,2,1,0,0,1
Yunusemre,55,1,10,0,0,0,0,0,3250000.0,1,1,0.0,2,0,1,0,0,2
Salihli,130,1,25,0,1,1,0,0,4750000.0,3,1,2.0,3,0,1,0,0,1
Sehzadeler,130,1,26,1,0,0,0,0,3950000.0,3,1,1.0,3,0,0,0,1,1
Turgutlu,110,2,2,1,1,0,1,0,6300000.0,2,1,5.0,3,0,0,0,1,1
Akhisar,600,1,15,0,1,0,0,0,10250000.0,2,0,3.0,1,0,0,0,1,2
Salihli,90,1,7,0,1,1,1,0,3500000.0,2,1,1.0,3,0,0,0,1,2
Sehzadeler,125,1,15,1,1,0,0,0,3380000.0,3,1,2.0,3,0,1,0,0,1
Turgutlu,170,2,0,0,1,1,0,0,6500000.0,3,1,4.0,3,1,1,0,0,2
Alasehir,170,2,0,1,1,0,0,0,5250000.0,3,1,6.0,3,0,1,0,0,1
Yunusemre,135,1,15,0,0,1,0,0,4050000.0,3,1,2.0,3,0,1,0,0,2
Akhisar,365,1,25,0,0,0,0,0,3000000.0,2,1,3.0,1,0,0,1,0,0
Saruhanli,148,1,7,0,0,0,0,0,5000000.0,3,1,3.0,3,0,0,1,0,2
Akhisar,150,1,3,1,0,0,0,0,4250000.0,3,1,3.0,3,0,1,0,0,2
Turgutlu,110,1,0,0,1,1,0,0,3850000.0,2,1,2.0,3,2,1,0,0,2
Turgutlu,165,2,1,1,1,1,0,0,7000000.0,3,0,1.0,3,2,1,0,0,1
Yunusemre,65,1,6,0,1,1,0,0,4650000.0,2,0,3.0,3,0,0,1,0,1
Yunusemre,130,1,6,0,0,1,0,0,4450000.0,3,1,3.0,3,0,1,0,0,2
Sehzadeler,100,1,30,1,1,0,1,0,3975000.0,2,1,1.0,3,0,1,0,0,2
Turgutlu,110,1,0,1,1,1,0,0,4000000.0,2,1,2.0,3,0,1,0,0,2
Sehzadeler,100,1,6,1,1,0,0,0,3950000.0,1,1,6.0,3,0,0,0,1,1
Akhisar,130,1,6,1,1,1,0,0,3650000.0,3,1,2.0,3,0,1,0,0,1
Akhisar,85,1,0,1,1,1,0,0,3300000.0,2,0,3.0,3,2,1,0,0,1
Yunusemre,110,1,4,0,0,1,1,0,7150000.0,2,1,2.0,3,0,0,1,0,1
Salihli,135,1,6,1,0,0,1,0,5670000.0,3,1,3.0,3,0,0,0,1,2
Sehzadeler,85,1,35,0,1,1,0,0,4300000.0,2,1,1.0,3,0,0,0,1,1
Salihli,160,1,10,1,0,0,0,0,3800000.0,3,1,4.0,3,0,1,0,0,2
Yunusemre,120,1,31,1,0,0,0,0,3695000.0,2,1,5.0,3,0,1,0,0,1
Demirci,90,1,40,0,0,0,1,0,600000.0,2,1,3.0,1,0,1,0,0,0
Akhisar,300,3,0,0,1,0,0,0,6700000.0,5,1,4.0,3,0,1,0,0,2
Turgutlu,172,2,5,1,1,1,0,0,5250000.0,3,1,4.0,2,0,0,1,0,2
