Ilce,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi
Salihli,110,1,Ara Kat,50 Yaşında,Klima,Yok,Yok,Yok,-,Boş,Kat İrtifakı,-,Eşyalı Değil,2350000.0,3,1
Yunusemre,85,1,Yüksek Giriş,5 Yaşında,Kombi,Yok,Yok,Var,-,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3350000.0,2,1
Salihli,120,1,3. Kat,21 Yaşında,Klima,Yok,Yok,Var,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı,2725000.0,3,1
Yunusemre,100,1,En Üst Kat,4 Yaşında,Kombi,Yok,Var,Var,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil,5750000.0,2,1
Yunusemre,130,1,3. Kat,15 Yaşında,Kombi,Var,Var,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Evet,Eşyalı Değil,4700000.0,3,1
Akhisar,108,1,2. Kat,1 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil,2780000.0,2,1
Turgutlu,110,1,3. Kat,30 Yaşında,Soba,Yok,Yok,Yok,-,Boş,Kat Mülkiyeti,-,Eşyalı Değil,1750000.0,2,1
Turgutlu,102,1,3. Kat,4 Yaşında,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı,2850000.0,2,1
Soma,110,1,1. Kat,4 Yaşında,Merkezi,Yok,Yok,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,2900000.0,3,1
Turgutlu,135,1,Giriş Katı,15 Yaşında,Kombi,Var,Var,Var,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil,2500000.0,3,1
