Fiyat,Ilce,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu,Fiyat_numeric,oda_sayisi,salon_sayisi
4.800.000 TL,Yunusemre,100,1,Yüksek Giriş,Sıfır Bina,Kombi,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,4800000.0,2,1
3.850.000 TL,Salihli,108,1,4. Kat,1 Yaşında,Kombi,Var,Var,Var,-,Kiracılı,Kat Mülkiyeti,Evet,Eşyalı Değil,3850000.0,2,1
4.800.000 TL,Akhisar,152,2,1. Kat,1 Yaşında,Kombi,Yok,Yok,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4800000.0,3,1
4.000.000 TL,Turgutlu,140,2,12. Kat,Sıfır Bina,Merkezi,Var,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil,4000000.0,2,1
3.950.000 TL,Akhisar,175,2,En Üst Kat,3 Yaşında,Kombi,Yok,Var,Var,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3950000.0,3,1
3.950.000 TL,Yunusemre,300,2,En Üst Kat,10 Yaşında,Kombi,Var,Var,Var,İkinci El,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil,3950000.0,4,1
6.000.000 TL,Akhisar,321,1,Bahçe Katı,31 Yaşında,Soba,Yok,Var,Var,-,Boş,Müstakil Tapulu,Hayır,Eşyalı Değil,6000000.0,2,1
4.950.000 TL,Turgutlu,198,2,4. Kat,15 Yaşında,Kombi,Var,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Evet,-,4950000.0,4,1
2.600.000 TL,Soma,250,1,-,30 Yaşında,Soba,Yok,Yok,Yok,-,-,Müstakil Tapulu,-,Eşyalı Değil,2600000.0,2,1
3.000.000 TL,Salihli,150,1,5. Kat,21 Yaşında,Isıtma Yok,Yok,Yok,Yok,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil,3000000.0,3,1
6.950.000 TL,Sehzadeler,200,2,5. Kat,16 Yaşında,Kombi,Yok,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Evet,Eşyalı Değil,6950000.0,3,1
3.375.000 TL,Saruhanli,130,1,En Üst Kat,1 Yaşında,Kombi,Var,Var,Yok,Sıfır,Boş,Kat Mülkiyeti,Hayır,Eşyalı Değil,3375000.0,3,1
