Fiyat,Ilce,Oda,M2,Banyo,Kat,Bina_Yasi,Isinma,Balkon,Asansor,Garaj,Yapı Durumu,Kullanım Durumu,Tapu Durumu,Takas,Eşya Durumu
6.300.000 TL,Sehzadeler,3 + 1,145,1,6. Kat,12 Yaşında,Kombi,Var,Var,Var,İkinci El,Boş,Kat İrtifakı,Evet,Eşyalı Değil
5.200.000 TL,Salihli,3 + 1,140,1,3. Kat,5 Yaşında,Kombi,Yok,Var,Var,-,-,Kat Mülkiyeti,-,Eşyalı Değil
2.700.000 TL,Akhisar,2 + 1,120,2,Yüksek Giriş,16 Yaşında,Kombi,Yok,Var,Yok,-,Boş,Hisseli Tapu,Hayır,Eşyalı Değil
3.500.000 TL,Sehzadeler,3 + 1,110,1,2. Kat,25 Yaşında,Kombi,Yok,Var,Yok,İkinci El,Kiracılı,Kat İrtifakı,Hayır,Eşyalı Değil
2.849.000 TL,Sehzadeler,2 + 1,85,1,2. Kat,25 Yaşında,Kombi,Var,Var,Yok,İkinci El,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil
2.750.000 TL,Yunusemre,1 + 1,50,1,2. Kat,Sıfır Bina,Kombi,Var,Var,Var,Sıfır,Boş,Kat İrtifakı,-,Eşyalı Değil
3.350.000 TL,Sehzadeler,1 + 1,40,1,4. Kat,Sıfır Bina,Kombi,Var,Var,Yok,İkinci El,Boş,Kat Mülkiyeti,Evet,Eşyalı Değil
3.450.000 TL,Akhisar,3 + 1,140,1,2. Kat,4 Yaşında,Kombi,Yok,Var,Var,-,Kiracılı,Kat İrtifakı,Evet,Eşyalı Değil
2.350.000 TL,Akhisar,3 + 1,140,1,4. Kat,26 Yaşında,Kombi,Yok,Yok,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil
4.000.000 TL,Turgutlu,3 + 1,135,1,4. Kat,16 Yaşında,Kombi,Var,Yok,Yok,-,Kiracılı,Kat Mülkiyeti,Hayır,Eşyalı Değil
3.150.000 TL,Yunusemre,2 + 1,110,1,Zemin,21 Yaşında,Kombi,Var,Var,Yok,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil
4.500.000 TL,Yunusemre,4 + 1,220,2,5. Kat,1 Yaşında,Kombi,Yok,Var,Var,-,Mülk Sahibi,Kat Mülkiyeti,Hayır,Eşyalı Değil
4.600.000 TL,Turgutlu,3 + 1,170,2,3. Kat,Sıfır Bina,Merkezi (Pay Öl...,Var,Var,Var,-,Boş,Kat İrtifakı,Hayır,Eşyalı Değil
1.375.000 TL,Soma,2 + 1,116,1,-,30 Yaşında,Soba,Yok,Yok,Var,-,Boş,Müstakil Tapulu,-,Eşyalı Değil
6.000.000 TL,Turgutlu,3 + 1,155,2,6. Kat,Sıfır Bina,Yerden Isıtma,Var,Var,Var,-,Boş,Kat İrtifakı,Evet,Eşyalı Değil
4.250.000 TL,Sehzadeler,3 + 1,120,1,5. Kat,16 Yaşında,Kombi,Var,Var,Yok,-,Mülk Sahibi,Kat İrtifakı,Hayır,Eşyalı Değil
