Ilce,M2,Banyo,Bina_Yasi,Balkon,Asansor,Garaj,Tapu Durumu,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat,Isinma,yapi_durumu,Kullanim_Boş,Kullanim_Kiracılı,Kullanim_Mülk Sahibi
Akhisar,140,1,6,0,1,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,3075000.0,3,1,3.0,3,0,0,0,1
Salihli,90,1,0,1,1,1,Kat İrtifakı,Evet,Eşyalı Değil,3675000.0,2,1,5.0,3,2,1,0,0
Kirkagac,120,2,0,0,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,3400000.0,3,1,2.0,3,2,1,0,0
Akhisar,140,1,7,0,0,1,Kat İrtifakı,-,Eşyalı Değil,3500000.0,3,1,2.0,3,0,1,0,0
Saruhanli,90,1,1,0,1,0,Müstakil Tapulu,Evet,Eşyalı Değil,2750000.0,2,1,3.0,3,0,1,0,0
Yunusemre,110,1,4,1,1,0,Kat İrtifakı,Hayır,Eşyalı Değil,4000000.0,2,1,0.5,3,0,1,0,0
Yunusemre,60,1,3,0,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,3600000.0,1,1,0.0,3,0,1,0,0
Akhisar,130,2,0,0,0,1,Kat Mülkiyeti,Hayır,Eşyalı Değil,3550000.0,2,1,1.0,3,0,1,0,0
Akhisar,115,1,0,0,1,1,Kat İrtifakı,Evet,Eşyalı Değil,2585000.0,2,1,3.0,3,2,1,0,0
Akhisar,290,1,25,0,0,0,Müstakil Tapulu,-,Eşyalı Değil,1580000.0,2,1,3.0,1,0,0,1,0
Sehzadeler,120,1,50,1,1,0,Kat Mülkiyeti,Hayır,Eşyalı Değil,3250000.0,3,1,5.0,2,0,1,0,0
Soma,460,1,25,0,0,1,Müstakil Tapulu,Hayır,Eşyalı Değil,1850000.0,2,1,3.0,1,0,1,0,0
Sehzadeler,231,1,37,0,0,1,Müstakil Tapulu,Hayır,Eşyalı Değil,4200000.0,3,1,3.0,1,0,0,0,1
Akhisar,280,3,5,0,0,1,Kat Mülkiyeti,Evet,Eşyalı,11000000.0,4,2,3.0,3,2,1,0,0
Soma,300,1,21,0,1,1,Hisseli Tapu,Hayır,-,3500000.0,2,1,0.0,1,0,0,1,0
Salihli,210,3,2,1,0,1,Kat Mülkiyeti,Evet,Eşyalı Değil,5295000.0,3,1,4.0,3,0,1,0,0
Salihli,50,1,8,0,1,0,Kat Mülkiyeti,-,-,1925000.0,1,1,3.0,1,0,1,0,0
Yunusemre,85,1,4,0,1,1,Kat İrtifakı,Evet,Eşyalı Değil,3175000.0,2,1,0.5,3,0,0,1,0
Salihli,55,1,10,0,0,0,Kat Mülkiyeti,-,Eşyalı,1650000.0,1,1,5.0,1,0,1,0,0
Yunusemre,180,2,20,0,0,0,Kat Mülkiyeti,Evet,Eşyalı Değil,2700000.0,2,1,3.0,1,0,1,0,0
Akhisar,130,2,35,0,0,0,Kat İrtifakı,Hayır,Eşyalı Değil,2150000.0,3,1,2.0,3,0,0,1,0
Salihli,105,1,20,1,0,0,Kat İrtifakı,-,Eşyalı Değil,2600000.0,2,1,3.0,1,0,0,1,0
Sehzadeler,200,2,6,1,0,1,Kat Mülkiyeti,Evet,Eşyalı Değil,9650000.0,3,1,4.0,3,0,1,0,0
Yunusemre,185,2,1,0,0,0,Kat İrtifakı,Evet,Eşyalı Değil,9750000.0,3,1,5.0,3,0,1,0,0
Turgutlu,160,2,6,0,1,1,Kat İrtifakı,Hayır,Eşyalı Değil,4200000.0,4,1,4.0,3,0,1,0,0
