M2,Banyo,Bina_Yasi,Balkon,Asansor,Garaj,Takas,Eşya Durumu,Fiyat,oda_sayisi,salon_sayisi,Kat,Isinma,yapi_durumu,Kullanim_Boş,Kullanim_Kiracılı,Kullanim_Mülk Sahibi,tapu_durumu,Ilce_Akhisar,Ilce_Alasehir,Ilce_Demirci,Ilce_Gordes,Ilce_Kirkagac,Ilce_Koprubasi,Ilce_Kula,Ilce_Salihli,Ilce_Sarigol,Ilce_Saruhanli,Ilce_Sehzadeler,Ilce_Selendi,Ilce_Soma,Ilce_Turgutlu,Ilce_Yunusemre
290,1,25,0,0,0,0,0,1580000.0,2,1,3.0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,1,50,1,1,0,0,0,3250000.0,3,1,5.0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
460,1,25,0,0,1,0,0,1850000.0,2,1,3.0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
231,1,37,0,0,1,0,0,4200000.0,3,1,3.0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
300,1,21,0,1,1,0,0,3500000.0,2,1,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
210,3,2,1,0,1,1,0,5295000.0,3,1,4.0,3,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,1,8,0,1,0,0,0,1925000.0,1,1,3.0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
85,1,4,0,1,1,1,0,3175000.0,2,1,0.5,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,1,10,0,0,0,0,1,1650000.0,1,1,5.0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
180,2,20,0,0,0,1,0,2700000.0,2,1,3.0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
130,2,35,0,0,0,0,0,2150000.0,3,1,2.0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1,20,1,0,0,0,0,2600000.0,2,1,3.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
160,2,6,0,1,1,0,0,4200000.0,4,1,4.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,1,0,0,1,1,1,0,2900000.0,1,1,2.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
180,1,35,1,0,0,0,0,3420000.0,3,1,1.0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
147,2,1,0,1,1,0,0,3100000.0,2,1,4.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
85,1,32,0,1,1,0,0,3100000.0,2,1,5.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
180,1,40,0,0,0,0,0,1350000.0,3,1,3.0,1,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
141,1,30,1,0,1,0,0,6500000.0,3,1,3.0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
85,1,24,0,0,0,0,0,4600000.0,2,1,3.0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
70,1,6,1,1,0,0,0,2849000.0,2,1,4.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
120,1,6,0,1,1,0,0,2999000.0,3,1,4.0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
85,1,4,0,1,1,0,0,3175000.0,2,1,3.0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,3,0,0,1,0,0,0,3050000.0,2,1,2.0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,1,8,1,1,1,1,0,2950000.0,3,1,0.5,3,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1,0,1,1,0,1,0,2590000.0,2,0,1.0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1,6,1,0,0,0,0,1700000.0,2,1,0.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,1,15,0,0,0,0,0,4750000.0,2,1,3.0,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,1,0,1,1,0,1,0,2750000.0,2,1,0.5,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
150,1,26,1,0,0,0,0,2650000.0,3,1,3.0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
100,1,0,0,1,1,0,0,3350000.0,2,1,3.0,3,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,2,20,1,1,1,0,0,4200000.0,4,1,5.0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
125,1,6,1,1,1,1,0,4900000.0,3,1,5.0,3,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
135,1,0,1,1,1,0,0,3625000.0,3,1,2.0,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1,8,1,1,1,1,0,4900000.0,2,1,2.0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
148,1,15,0,0,1,0,0,6750000.0,3,1,0.0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
150,2,0,0,1,0,1,0,6600000.0,5,1,5.0,3,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1,9,1,0,0,1,0,1685000.0,2,1,0.0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
110,1,12,1,1,0,0,0,3300000.0,3,1,5.0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,1,0,0,0,1,0,0,4500000.0,2,1,5.0,3,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
135,1,16,0,1,0,1,0,5200000.0,3,1,3.0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
48,1,1,1,0,1,0,1,4850000.0,1,1,12.0,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,1,0,0,1,1,0,0,3650000.0,2,1,3.0,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,1,3,0,1,0,1,1,5850000.0,3,1,5.0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,1,6,0,0,0,0,0,2350000.0,1,1,2.0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
155,2,0,1,1,1,0,0,6750000.0,3,1,1.0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
85,1,0,1,1,1,1,0,2800000.0,2,1,1.0,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
145,1,20,1,1,1,0,0,4100000.0,3,1,4.0,3,0,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
90,2,0,1,1,1,0,0,3600000.0,2,1,1.0,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,2,20,1,1,0,1,0,4200000.0,4,1,5.0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
165,1,20,0,0,0,0,0,3250000.0,3,1,3.0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
110,1,21,0,0,0,1,0,2600000.0,2,1,4.0,3,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
83,1,12,0,0,0,0,0,3970000.0,2,1,3.0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,1,11,0,0,1,0,0,6750000.0,3,1,9.0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
